	Gene ID	Gene Name	flight1	flight2	flight3	ground1	ground2	ground3
33083	ATMG00410	ATP6-1	6.558183	4.437098	5.602224	5.393251	8.979911	6.419594
33084	ATMG00420	TRNS.3	0.218412	0.0	0.00463	0.005469	0.012593	0.008849
33085	ATMG00430	ORF106A	0.12759	0.02342	0.0	0.0	0.0	0.0
33086	ATMG00440	ORF152A	0.042444	0.0	0.0	0.0	0.0	0.0
33087	ATMG00450	ORF106B	0.0	0.0	0.0	0.0	0.0	0.111235
33088	ATMG00460	TRNI	0.0	0.0	0.0	0.0	0.0	0.399069
33089	ATMG00470	ORF122A	0.0	0.0	0.0	0.53555	0.325183	0.0
33090	ATMG00480	YMF19	11.520616	8.662122	11.746397	10.211658	16.161224	12.835355
33091	ATMG00490	ORF107C	9.457664	3.659578	6.859029	8.618358	8.144282	5.473526
33092	ATMG00500	ORF141	0.0	0.0	0.0	0.0	0.0	0.0
33093	ATMG00510	NAD7	20.133303	12.103528	13.987381	11.049592	24.607141	15.533954
33094	ATMG00513	NAD5A	9.329842	4.970155	6.755195	5.391642	10.919126	5.774022
33095	ATMG00516	NAD1C	9.060295	9.797986	13.944058	11.966127	18.060528	13.936624
33096	ATMG00520	MATR	2.605603	1.711145	1.818592	2.145819	3.19955	1.809521
33097	ATMG00530	ORF109	0.159935	0.579912	1.328697	0.314487	0.318884	0.0
33098	ATMG00540	ORF102B	0.0	0.0	0.074639	0.0	0.0	0.21069
33099	ATMG00550	ORF160	0.0	0.0	0.0	0.085082	0.0	0.0
33100	ATMG00560	RPL2	6.173298	2.858933	3.53441	4.415386	7.93849	3.689641
33101	ATMG00570	ORFX	2.155082	1.141712	1.265364	1.066148	2.244454	2.10903
33102	ATMG00580	NAD4	5.896844	3.090351	5.303779	4.724674	10.414735	4.396266
33103	ATMG00590	ORF313	0.123431	0.0	0.759481	0.886114	0.909384	0.482713
33104	ATMG00600	ORF106C	0.0	0.0	0.0	0.0	0.0	0.028165
